Country,Cases,Deaths,Recovery
Abkhazia[av],38,1,27
Afghanistan,28833,581,8764
Albania,1962,44,1134
Algeria,11631,837,8324
Andorra,855,52,792
Angola,176,9,66
Anguilla,3,0,3
Antigua and Barbuda,26,3,22
Argentina[r],41191,992,12193
Armenia,20268,350,9002
Artsakh[at],96,0,58
Aruba,101,3,98
Australia[ab],7459,102,6896
Austria,17341,690,16197
Azerbaijan[y],12238,148,6516
Bahamas,104,11,74
Bahrain,21331,60,15790
Bangladesh,112306,1464,45077
Barbados,97,7,85
Belarus,58505,346,37666
Belgium[o],60550,9696,16771
Belize,22,2,17
Benin,765,13,253
Bermuda,146,9,132
Bhutan,68,0,28
Bolivia,23512,740,5086
Bonaire,2,0,2
Bosnia and Herzegovina,3273,169,2241
Botswana,89,1,25
Brazil[g],1071085,50090,543186
British Virgin Islands,8,1,7
Brunei,141,3,138
Bulgaria,3755,193,2008
Burkina Faso,901,53,810
Burundi,144,1,93
Cambodia,129,0,127
Cameroon,11610,301,7702
Canada,101019,8410,63488
Cape Verde,863,8,377
Cayman Islands,195,1,143
Central African Republic,2808,23,472
Chad,858,74,746
Chile[k],236748,4295,0
China[n],83378,4634,78413
Colombia,65633,2126,25499
Comoros,247,5,159
Congo[al],883,27,391
Costa Atlantica,148,0,148
Costa Rica,2127,12,1014
Croatia,2317,107,2142
Cuba[af],2309,85,2071
Curaçao,23,1,19
Cyprus[aj],985,19,824
Czech Republic,10448,336,7477
DR Congo[ad],5826,130,841
Denmark[x],12391,600,11282
Djibouti,4565,45,3565
Dominica,18,0,16
Dominican Republic,25778,655,14957
Donetsk PR[ai],1003,60,278
Ecuador,49731,4156,5040
Egypt[p],53758,2106,14327
El Salvador,4626,98,2535
Equatorial Guinea,1664,32,515
Eritrea,143,0,39
Estonia,1981,69,1758
Eswatini,627,5,285
Ethiopia,4532,74,1213
Falkland Islands,13,0,13
Faroe Islands,187,0,187
Fiji,18,0,18
Finland[ac],7143,326,6200
France[m],160093,29633,74312
French Polynesia,60,0,60
Gabon,4428,34,1750
Georgia[ak],906,14,755
Germany[l],191216,8961,174663
Ghana,13717,85,10074
Gibraltar,176,0,174
Greece,3256,190,1374
Greenland,13,0,13
Greg Mortimer[am],128,1,0
Grenada,23,0,23
Guam[ag],222,5,170
Guatemala,12755,514,24558
Guernsey,252,13,238
Guinea,4960,27,3630
Guinea-Bissau,1541,17,153
Guyana,183,12,102
Haiti,5077,88,24
Honduras,12250,358,1275
Hong Kong,1132,5,1078
Hungary,4094,570,2589
Iceland,1822,10,1805
India,410461,13254,227756
Indonesia,45891,2465,18404
Iran,204952,9623,163591
Iraq,29222,1013,13212
Ireland,25374,1715,23308
Isle of Man[aq],336,24,312
Israel[t],20686,305,15664
Italy,238275,34610,181453
Ivory Coast,7276,52,2992
Jamaica,657,10,462
Japan[u],17799,953,16108
Jersey,318,31,297
Jordan,1015,9,722
Kazakhstan,17225,118,10719
Kenya,4478,121,1586
Kosovo,1486,33,953
Kuwait,39650,326,31240
Kyrgyzstan,3151,37,2011
Laos,19,0,19
Latvia,1111,30,903
Lebanon,1536,32,1006
Lesotho,4,0,2
Liberia,601,33,254
Libya,544,10,98
Liechtenstein,82,1,55
Lithuania,1798,76,1475
Luhansk PR[ai],469,11,420
Luxembourg,4105,110,3951
MS Zaandam[ax],13,4,0
Macau,45,0,45
Madagascar,1596,13,655
Malawi,730,11,258
Malaysia,8572,121,8156
Maldives,2187,8,1778
Mali,1933,109,1255
Malta,665,9,616
Mauritania,2813,108,696
Mauritius,337,10,326
Mexico,175202,20781,131686
Moldova[v],13953,464,7745
Monaco,99,4,94
Mongolia,206,0,139
Montenegro,359,9,315
Montserrat,11,1,10
Morocco[z],9957,213,8249
Mozambique,688,4,177
Myanmar,287,6,196
Namibia,55,0,19
Nepal,9026,23,1579
Netherlands[q],49593,6090,0
New Caledonia,21,0,21
New Zealand,1161,22,1132
Nicaragua,1823,64,1238
Niger,1035,67,911
Nigeria,19808,506,6718
North Macedonia,5106,238,19026
Northern Cyprus[as],108,4,104
Northern Mariana Islands ,30,2,19
Norway[aa],8742,244,8138
Oman,29471,131,15552
Pakistan,176617,3501,67892
Palestine,827,3,439
Panama,25222,493,14359
Papua New Guinea,9,0,8
Paraguay,1362,13,791
Peru,251338,7861,138763
Philippines,30052,1169,7893
Poland,31931,1356,16683
Portugal,39133,1530,25376
Puerto Rico,1533,149,850
Qatar,87369,98,68319
Romania,24045,1512,16911
Russia[h],584680,8111,339711
Rwanda,702,2,357
Saba,3,0,3
Saint Kitts and Nevis,15,0,15
Saint Lucia,19,0,18
Saint Pierre and Miquelon,1,0,1
Saint Vincent[aw],29,0,26
San Marino,696,42,610
Saudi Arabia,154233,1230,98917
Senegal,5888,55,3919
Serbia[w],12803,260,11348
Seychelles,11,0,11
Sierra Leone,1309,53,746
Singapore,42095,26,34224
Sint Eustatius,2,0,2
Sint Maarten,77,15,62
Slovakia,1587,28,1447
Slovenia,1520,109,1359
Somalia[ae],2788,88,751
Somaliland[an],550,27,64
South Africa,92681,1877,50326
South Korea,12421,280,10868
South Ossetia[au],81,0,43
South Sudan,1882,34,122
Spain[j],245938,28322,150376
Sri Lanka,1950,11,1472
Sudan,8580,521,3325
Suriname,302,8,72
Sweden,56043,5053,0
Switzerland,31292,1680,29000
Syria[ar],204,7,83
São Tomé and Príncipe,698,12,203
Taiwan[ap],446,7,434
Tajikistan,5399,52,3894
Tanzania[ao],509,21,183
Thailand,3148,58,3018
The Gambia,37,2,24
Togo,561,13,366
Trinidad and Tobago,117,8,109
Tunisia,1157,50,1020
Turkey,186493,4927,158828
Turks and Caicos Islands,12,1,11
U.S. Virgin Islands,73,6,64
Uganda,770,0,4578
Ukraine[s],36560,1002,16509
United Arab Emirates,44925,302,32415
United Kingdom[i],304331,42632,0
United States[f],2299714,121512,717140
Uruguay[am],859,24,815
Uzbekistan,6216,19,4429
Vatican City,12,0,12
Venezuela,3790,33,835
Vietnam,349,0,327
Yemen,922,254,328
Zambia,1430,11,1194
Zimbabwe,479,4,63
