Lat,Long,Country,Country
43.0016,41.0234,Abkhazia[at],Abkhazia[au]
33.93911,67.709953,Afghanistan,Afghanistan
41.153332,20.168331,Albania,Albania
28.033886,1.659626,Algeria,Algeria
42.546245,1.601554,Andorra,Andorra
-11.202692,17.873887,Angola,Angola
18.220554,-63.068615,Anguilla,Anguilla
17.060816,-61.796428,Antigua & Barbuda,Antigua and Barbuda
-38.416097,-63.616672,Argentina[r],Argentina[s]
40.069099,45.038189,Armenia,Armenia
39.913002,46.794758,Artsakh[ar],Artsakh[as]
12.52111,-69.968338,Aruba,Aruba
-25.274398,133.775136,Australia[z],Australia[ab]
47.516231,14.550072,Austria,Austria
40.143105,47.576927,Azerbaijan[aa],Azerbaijan[y]
25.03428,-77.39628,Bahamas,Bahamas
25.930414,50.637772,Bahrain,Bahrain
23.684994,90.356331,Bangladesh,Bangladesh
13.193887,-59.543198,Barbados,Barbados
53.709807,27.953389,Belarus,Belarus
50.503887,4.469936,Belgium[n],Belgium[o]
17.189877,-88.49765,Belize,Belize
9.30769,2.315834,Benin,Benin
32.321384,-64.75737,Bermuda,Bermuda
27.514162,90.433601,Bhutan,Bhutan
-16.290154,-63.588653,Bolivia,Bolivia
12.2019,68.2624,Bonaire,Bonaire
43.915886,17.679076,Bosnia & Herzegovina,Bosnia and Herzegovina
-22.328474,24.684866,Botswana,Botswana
-14.235004,-51.92528,Brazil[f],Brazil[g]
18.420695,-64.639968,British Virgin Islands,British Virgin Islands
4.535277,114.727669,Brunei,Brunei
42.733883,25.48583,Bulgaria,Bulgaria
12.238333,-1.561593,Burkina Faso,Burkina Faso
-3.373056,29.918886,Burundi,Burundi
12.565679,104.990963,Cambodia,Cambodia
7.369722,12.354722,Cameroon,Cameroon
56.130366,-106.346771,Canada,Canada
16.002082,-24.013197,Cape Verde,Cape Verde
19.513469,-80.566956,Cayman Islands,Cayman Islands
6.611111,20.939444,Central African Republic,Central African Republic
15.454166,18.732207,Chad,Chad
-35.675147,-71.542969,Chile[l],Chile[k]
35.86166,104.195397,China[m],China[n]
4.5709,74.2973,Colombia,Colombia
-11.875001,43.872219,Comoros,Comoros
-0.228021,15.827659,Congo[ak],Congo[al]
10.987053,-74.818289,Costa Atlantica,Costa Atlantica
9.748917,-83.753428,Costa Rica,Costa Rica
45.1,15.2,Croatia,Croatia
21.521757,-77.781167,Cuba[ae],Cuba[af]
12.1696,68.99,Curaçao,Curaçao
35.126413,33.429859,Cyprus[ah],Cyprus[ai]
49.817492,15.472962,Czech Republic,Czech Republic
4.0383,21.7587,DR Congo[ac],DR Congo[ad]
56.26392,9.501785,Denmark[u],Denmark[x]
11.825138,42.590275,Djibouti,Djibouti
15.415,61.371,Dominica,Dominica
18.735693,-70.162651,Dominican Republic,Dominican Republic
26.820553,30.802498,Donetsk PR[al],Donetsk PR[ak]
-1.831239,-78.183406,Ecuador,Ecuador
